workers,n_images,mode,tasks,time_mean,time_median,time_std,time_min,time_max,time_ci95,reps,compute_median,pool_setup_median,cpu_main_median,cpu_children_median,cpu_total_median,throughput_median,throughput_mean,imbalance_median,task_count,speedup,efficiency,speedup_compute,amdahl_serial_fraction,cpu_overhead_ratio,level,backend,scheduling,chunksize,ms_per_image
32,3000,process/dynamic,188,0.6795770500003917,0.6731025780027267,0.019348482429019962,0.6603002439987904,0.718053382999642,0.017895006346896974,7,0.5783916889995453,0.09582017399952747,0.22149300000000238,11.112794999999892,11.30244299999989,4456.97297565223,4417.487219368887,1.0792373208244417,188,4.944285772722315,0.15450893039757235,5.753906156151926,0.17651992930678254,3.3961550313135866,medium,process,dynamic,16,0.22436752600090887
40,3000,process/dynamic,188,0.7035185552860119,0.6925223480029672,0.022280966053394573,0.6875669389992254,0.7508047580013226,0.020607199060866492,7,0.5801327410008525,0.1144390490007936,0.19213299999998412,11.20972699999993,11.402239000000101,4331.990164145787,4267.789072257146,1.1072543909757286,188,4.805637694723658,0.12014094236809145,5.736637953341618,0.18778351669747118,3.426141706539968,medium,process,dynamic,16,0.23084078266765573
1,3000,sequential,1,19.133395371427987,19.159882042997197,0.06839183655645946,19.035957210999186,19.208240963998833,0.06325417787899215,7,19.159882042997197,0.0,19.152303999999987,0.0,19.152303999999987,156.5771643722869,156.79563545167065,1.0,1,1.0,1.0,1.0,nan,0.9996044838386685,heavy,sequential,-,-,6.386627347665732
1,3000,process/dynamic,188,19.126368563715264,19.103009827998903,0.07825275728670593,19.07210398400275,19.291841960002785,0.07237433702849433,7,19.093918021000718,0.00864298200031044,0.036789999999996326,19.090337999999747,19.117201999999764,157.0433155304647,156.85375844396825,1.0,188,1.0029771337349644,1.0029771337349644,1.003454713795457,nan,0.997772426630725,heavy,process,dynamic,16,6.367669942666301
2,3000,process/dynamic,188,10.220053267142378,10.206155297000805,0.07057541499813048,10.111164403999283,10.31333285800065,0.06527372386746944,7,10.193590645001677,0.012552918000437785,0.04021799999998166,20.33872899999983,20.38224999999983,293.9402657219594,293.5525544357301,1.0022583099976299,188,1.877286939639998,0.938643469819999,1.879600889446355,0.06536723703172109,1.0637983028423392,heavy,process,dynamic,16,3.402051765666935
4,3000,process/dynamic,188,6.384594635284884,6.383161596000718,0.10944265325874253,6.255332692999218,6.5458674099972995,0.10122121886670588,7,6.364773252000305,0.01811259999522008,0.04961499999998864,25.398549000000003,25.442102999999975,469.9865348669237,469.99909588720976,1.0026732097881017,188,3.001628856615749,0.7504072141539373,3.0103008048206084,0.11086992996972156,1.3278841144692164,heavy,process,dynamic,16,2.1277205320002395
6,3000,process/dynamic,188,5.19491203128512,5.208784056001605,0.023879830184975807,5.1565514619978785,5.216052206000313,0.02208595502467059,7,5.184708379998483,0.023363185999187408,0.06039599999999723,30.616365000000087,30.670547,575.9501579919357,577.4986107428767,1.0164579987866407,188,3.6783790299236956,0.6130631716539493,3.69545992536668,0.1262306549265242,1.6007690930023168,heavy,process,dynamic,16,1.7362613520005348
8,3000,process/dynamic,188,4.668601558000644,4.686904823000077,0.0962858401427362,4.474737164000544,4.755859248001798,0.08905275784762656,7,4.656969793999451,0.030809210002189502,0.07703100000000518,36.98791200000005,37.06613100000004,640.0812718188945,642.8308070844776,1.0144917519666399,188,4.087960555327215,0.5109950694159019,4.11423798962254,0.1367094349973894,1.934569895410575,heavy,process,dynamic,16,1.5623016076666925
10,3000,process/dynamic,188,4.401062889713752,4.4085112850007135,0.041315762978946347,4.3268620739982,4.453670423001313,0.038212084252469476,7,4.371890138998424,0.036621146002289606,0.08305599999999913,43.00746600000002,43.09498300000001,680.5018306762743,681.7053382352093,1.0184612216169413,188,4.346111601933689,0.43461116019336893,4.382516813971593,0.14454525781801422,2.2492300789373036,heavy,process,dynamic,16,1.4695037616669044
12,3000,process/dynamic,188,4.148802916142033,4.200167951999902,0.12840488570925102,3.8641896529989026,4.235716807001154,0.1187589906944457,7,4.158299028000329,0.04204239400132792,0.09110100000000898,48.996360000000095,49.087461000000104,714.2571521625835,723.7278996082142,1.0202504697851822,188,4.561694261267399,0.3801411884389499,4.607624875936575,0.14823650465872734,2.561991816538413,heavy,process,dynamic,16,1.4000559839999671
14,3000,process/dynamic,188,4.040709921143259,4.0400770870001,0.011957649607687748,4.021470093000971,4.06118940899978,0.0110593797941796,7,3.9899729839999054,0.0487842999973509,0.0907100000000014,54.534675000000334,54.64743900000033,742.5600886807846,742.449363798551,1.0273593153347111,188,4.74245456965379,0.33874675497527074,4.802007963419747,0.15015829225104985,2.852180346275858,heavy,process,dynamic,16,1.3466923623333664
16,3000,process/dynamic,188,3.92257877800044,3.9193385469989153,0.02673861274999115,3.8855099370011885,3.9695777670021926,0.02472998317173697,7,3.865970586997719,0.05596082599731744,0.10466600000000881,60.72693100000015,60.83071600000014,765.4352804753588,764.8333700534148,1.019768288503268,188,4.888549895152116,0.30553436844700727,4.956034095923271,0.15153028121034284,3.1749003393386412,heavy,process,dynamic,16,1.3064461823329718
20,3000,process/dynamic,188,3.7390426441426308,3.738153476999287,0.044623578352785104,3.667048560000694,3.7895829799999774,0.04127141344411844,7,3.6690055130020482,0.0674790539960668,0.13254599999999073,70.13875600000028,70.2783520000003,802.5352673342289,802.4428550802049,1.0268540328764797,188,5.125493685823016,0.2562746842911508,5.222091374651608,0.15274016540945723,3.667995024305828,heavy,process,dynamic,16,1.2460511589997623
24,3000,process/dynamic,188,3.8247837025716893,3.817387230999884,0.04133829867615931,3.759261860999686,3.8896095090021845,0.038232927047047144,7,3.733871024000109,0.07826778200251283,0.16706000000002064,71.86306100000002,72.04323500000001,785.8778317373407,784.4366130463862,1.036413672418786,188,5.019108852097949,0.2091295355040812,5.1313722192983375,0.16442284102293495,3.760108482835431,heavy,process,dynamic,16,1.2724624103332947
32,3000,process/dynamic,188,3.8830106312863273,3.876453181001125,0.055638915563027254,3.800381731001835,3.964707981001993,0.051459268228783245,7,3.7736011060005694,0.10295194800346508,0.19488999999998668,72.62846699999864,72.82335699999862,773.9033234564247,772.7325211681075,1.043405022163066,188,4.942632130036201,0.15445725406363128,5.077346943886099,0.176589779579557,3.8008249130435043,heavy,process,dynamic,16,1.2921510603337083
40,3000,process/dynamic,188,3.967562344285917,3.9979156039989903,0.06542656701029224,3.882480503001716,4.040014015001361,0.06051166215231505,7,3.8673895280007855,0.12651673499931348,0.22230000000001837,73.81100400000014,74.04303400000015,750.3910280144968,756.3088577323017,1.0524351133056828,188,4.792467860960388,0.11981169652400969,4.95421573241466,0.1883700132218395,3.8644827684136165,heavy,process,dynamic,16,1.33263853466633
