workers,n_images,mode,tasks,time_mean,time_median,time_std,time_min,time_max,time_ci95,reps,compute_median,pool_setup_median,cpu_main_median,cpu_children_median,cpu_total_median,throughput_median,throughput_mean,imbalance_median,task_count,speedup,efficiency,speedup_compute,amdahl_serial_fraction,cpu_overhead_ratio,order,strategy,chunksize,scheduling,busy_max,busy_min,busy_mean,busy_spread,busy_profile
1,1500,sequential,1,2.738014368286323,2.7323587099999713,0.01939959283477218,2.7165737460018136,2.7727438760011864,0.01794227729120404,7,2.7323587099999713,0.0,2.731345000000001,0.0,2.731345000000001,548.9762359935587,547.8657250927469,1.0,1,1.0,1.0,1.0,nan,0.9996289981998848,sorted,sequential,-,,,,,,
4,1500,process/static,4,1.6222306392857198,1.616075448000629,0.029084401324269236,1.5855136850004783,1.668365702000301,0.026899553916066965,7,1.572858355997596,0.042842566002946114,0.03245799999999832,3.0939619999999994,3.126168999999999,928.1744870610869,924.9055710999621,2.0744607694168837,4,1.6907370960807444,0.4226842740201861,1.7371931169650394,0.4552773480222128,1.1441283271331646,sorted,static,-,static,1.571135312999104,0.4133258840010967,0.7616663477501788,1.1578094289980072,1.571;0.642;0.420;0.413
4,1500,process/dynamic,1500,0.9432907061434109,0.9347360220017435,0.017725739488406896,0.9213842950011895,0.9719919330018456,0.01639416537251137,7,0.8906083180008864,0.045065737002005335,0.1603190000000012,3.606380999999999,3.766083000000002,1604.731137661454,1590.6558625132707,1.0015743877296786,1500,2.923134067464958,0.7307835168662395,3.0679689991366685,0.12279810044987512,1.3783267131862205,sorted,dynamic(1),1,dynamic,0.8712561200009077,0.8683309459956945,0.8698865812411896,0.0029251740052131936,0.871;0.871;0.869;0.868
4,1500,process/dynamic,188,0.9312273132854898,0.9357862229990133,0.021096981810408273,0.9060326860017085,0.9543632849999995,0.019512156820701558,7,0.89042456199968,0.045342000001255656,0.06303799999999171,3.560389000000015,3.6234270000000066,1602.9302025763866,1611.488010946605,1.0134701411296827,188,2.9198535336877387,0.7299633834219347,3.068602132744125,0.12331057635255764,1.3261168772382907,sorted,dynamic(8),8,dynamic,0.8857858589981333,0.8505198089987971,0.8725127259922374,0.035266049999336246,0.886;0.880;0.874;0.851
4,1500,process/dynamic,47,1.0233123995712958,1.018746353998722,0.021007272195948393,1.0056654500003788,1.0566753029997926,0.019429186276317706,7,0.9704122850016574,0.04375753100248403,0.04213000000000022,3.4508440000000036,3.4964740000000063,1472.3979075972052,1466.3501788447613,1.1373081722012128,47,2.6820794982726377,0.6705198745681594,2.8156678890305935,0.1637933678670044,1.2796540905128972,sorted,dynamic(32),32,dynamic,0.9684919429964793,0.6965857210016111,0.849346374750894,0.27190622199486825,0.968;0.966;0.767;0.697
4,1500,process/dynamic,12,1.205836160857351,1.2027086749985756,0.012960350877286121,1.1880809239992232,1.222780137002701,0.01198675720733486,7,1.1600578399993537,0.04265083499922184,0.03431799999999896,3.3859010000000183,3.420324000000022,1247.1848180539453,1244.0732904793456,1.392505854278295,12,2.2718375337262846,0.5679593834315712,2.3553642032206716,0.25356309457557186,1.2517843969322966,sorted,dynamic(128),128,dynamic,1.1589186800047173,0.5496901939986856,0.8293201192509514,0.6092284860060317,1.159;0.876;0.732;0.550
8,1500,process/static,8,1.2301111857149019,1.2310443490023317,0.05315509790088075,1.1749618290014041,1.2997456769990094,0.04916203727066008,7,1.1664156309998361,0.06813085900284932,0.05789499999999492,3.8284989999999937,3.8863939999999886,1218.477629352376,1221.3421740652386,2.409804908101061,8,2.2195453090007207,0.2774431636250901,2.3425258007369374,0.37204883280490736,1.4223586331386298,sorted,static,-,static,1.1642057280005247,0.22473215100035304,0.49081324637518264,0.9394735770001716,1.164;0.687;0.447;0.413;0.412;0.351;0.227;0.225
8,1500,process/dynamic,1500,0.6937364191424942,0.6894586359994719,0.01664476891341239,0.6776206779977656,0.7276545809982053,0.015394398317327636,7,0.6183662799994636,0.06827718999556964,0.22097600000000028,5.009846999999979,5.22526100000001,2175.620003403872,2163.242684286802,1.0149684239783587,1500,3.963049510633825,0.4953811888292281,4.418673524698568,0.14552107189656624,1.9123627439092963,sorted,dynamic(1),1,dynamic,0.6073620279821625,0.589488782978151,0.5971384092558765,0.01787324500401155,0.607;0.601;0.600;0.596;0.596;0.595;0.593;0.589
8,1500,process/dynamic,188,0.7131340118570993,0.703605309001432,0.02161431517817434,0.6971979839981941,0.7581389359984314,0.01999062762240899,7,0.6347911699995166,0.06948927299890784,0.09318600000000288,4.913680000000056,5.002885000000049,2131.8770350508357,2104.9829418801514,1.0547908012330651,188,3.8833685235800433,0.4854210654475054,4.304342654927056,0.1514381669795741,1.8309766509391079,sorted,dynamic(8),8,dynamic,0.6299495919956826,0.5676202489958087,0.5972270437505358,0.062329342999873916,0.630;0.629;0.607;0.602;0.594;0.575;0.573;0.568
8,1500,process/dynamic,47,0.8248665745709981,0.8149504280008841,0.03294683072364239,0.8053390870009025,0.8987713030001032,0.03047183400933964,7,0.746082044999639,0.06790185700083384,0.06775100000000123,4.574154000000021,4.641530000000017,1840.6027513594638,1820.798914273531,1.3311715842641907,47,3.352791306217962,0.41909891327724524,3.6622764591544263,0.19801022360782097,1.6987264457674616,sorted,dynamic(32),32,dynamic,0.7436372939955618,0.4134490230026131,0.5576735321246815,0.3301882709929487,0.744;0.727;0.600;0.561;0.485;0.470;0.460;0.413
8,1500,process/dynamic,12,1.0688242792847242,1.0582585189986276,0.029255178700151152,1.0429610810024315,1.1208918529991934,0.027057502335873247,7,0.9916453119985817,0.06661252500271075,0.05840200000000095,4.085331999999937,4.143733999999938,1417.4230332862035,1404.2925310151193,2.0071747798457733,12,2.581938780502758,0.32274234756284476,2.7553790422233946,0.2997781169279882,1.5165409961856662,sorted,dynamic(128),128,dynamic,0.9899733409984037,0.23391756500132033,0.4988033507502223,0.7560557759970834,0.990;0.746;0.659;0.461;0.365;0.299;0.237;0.234
14,1500,process/static,14,1.0261752448563388,1.0104336899967166,0.04298248485082834,0.9992312299982586,1.1198815440002363,0.03975360041970673,7,0.9065250129970082,0.1039086769997084,0.09426200000000051,5.196415000000002,5.291776000000006,1484.5110716813829,1463.8012684364462,2.5409684106064763,14,2.7041445045333456,0.19315317889523897,3.0141018403526267,0.321326008921883,1.9367061801340357,sorted,static,-,static,0.903601259997231,0.1446486559980258,0.33679721807025736,0.7589526039992052,0.904;0.617;0.592;0.389;0.389;0.342;0.246;0.239;0.235;0.178;0.149;0.147;0.145;0.145
14,1500,process/dynamic,1500,0.6511511645704948,0.6420627070001501,0.026345473445078933,0.630244785999821,0.7087230139986787,0.024366376858816683,7,0.5313445970023167,0.10871057700205711,0.26630200000000315,7.496413000000075,7.762715000000078,2336.220409075479,2306.652980457482,1.027354552418523,1500,4.255594788811387,0.3039710563436705,5.142347782239814,0.176137454064148,2.841030707860521,sorted,dynamic(1),1,dynamic,0.5182210300154111,0.5001162799962913,0.5062409219221341,0.01810475001911982,0.518;0.510;0.509;0.508;0.507;0.506;0.505;0.505;0.505;0.504;0.504;0.504;0.502;0.500
14,1500,process/dynamic,188,0.6650751021422495,0.65335060399957,0.030137133481428872,0.6479171440005302,0.7324347840003611,0.027873203849753704,7,0.5456756459971075,0.10994977200243738,0.13110100000000102,7.04230599999994,7.174409999999938,2295.8576770535706,2259.0645973198157,1.120649537648364,188,4.18207114721175,0.2987193676579821,5.007294589823887,0.18058642949483225,2.625720398183009,sorted,dynamic(8),8,dynamic,0.5395385640040331,0.446547723000549,0.48512671849857725,0.09299084100348409,0.540;0.537;0.523;0.511;0.504;0.501;0.494;0.471;0.464;0.457;0.450;0.448;0.447;0.447
14,1500,process/dynamic,47,0.8196792652857506,0.8182917759986594,0.028458792447858747,0.7865602419988136,0.8731050550013606,0.02632094136311297,7,0.7126547129992105,0.10796999000012875,0.10556900000000269,6.1249259999999595,6.228284999999957,1833.0869794815796,1831.8324619102725,1.6568072328339585,47,3.3391007830493553,0.23850719878923968,3.834056886399906,0.24559581271031777,2.279453637330079,sorted,dynamic(32),32,dynamic,0.7098019779987226,0.3113183570021647,0.4244152135002618,0.3984836209965579,0.710;0.640;0.512;0.487;0.440;0.412;0.412;0.381;0.376;0.317;0.316;0.315;0.312;0.311
