workers,n_images,mode,tasks,time_mean,time_median,time_std,time_min,time_max,time_ci95,reps,compute_median,pool_setup_median,cpu_main_median,cpu_children_median,cpu_total_median,throughput_median,throughput_mean,imbalance_median,task_count,speedup,efficiency,speedup_compute,amdahl_serial_fraction,cpu_overhead_ratio,section,image_size,working_set_kb,backend,megapixels,ns_per_pixel,aggregate_working_set_mb
1,24000,sequential,1,16.40242311920083,16.388746014999924,0.09191162804707824,16.31071406800038,16.55482193300122,0.11410506390059565,5,16.388746014999924,0.0,16.380685999999997,0.0,16.380685999999997,1464.4195460734957,1463.2350248253522,1.0,1,1.0,1.0,1.0,nan,0.9995081981871858,cache,128,48.0,sequential,393.216,41.67873640696188,
4,24000,process/dynamic,1500,5.196826089200476,5.2027444150007796,0.06262970425349763,5.11512643399692,5.261799219002569,0.07775258210267258,5,5.123081390000152,0.08005454199883388,0.3276749999999993,20.543661999999998,20.85998099999999,4612.950028988961,4618.741385849315,1.001218963244126,1500,3.150019433541109,0.7875048583852773,3.1990016881225927,0.08994447858621424,1.2728234961300722,cache,128,48.0,process,393.216,13.231263262432808,0.1875
14,24000,process/dynamic,1500,3.113021212800959,3.0471335330003058,0.16442271396105898,2.949274164002418,3.380004631999327,0.20412503490446438,5,2.8168558190009207,0.22609389099670807,0.5090800000000115,39.690972000000045,40.19179900000006,7876.254762084163,7726.129649751378,1.0060266606768509,1500,5.378414118551293,0.38417243703937803,5.8180989969208525,0.12330752138815028,2.4524023353107194,cache,128,48.0,process,393.216,7.749261304220341,0.65625
1,10667,sequential,1,9.721197010799369,9.757213425000373,0.05159865921924196,9.663174426998012,9.760818810998899,0.06405792642886195,5,9.757213425000373,0.0,9.753151000000003,0.0,9.753151000000003,1093.2424592321133,1097.3176327253896,1.0,1,1.0,1.0,1.0,nan,0.9995836490580434,cache,192,108.0,sequential,393.228288,24.813101505556926,
4,10667,process/dynamic,667,3.1114430463996543,3.08925695400103,0.06385855803218449,3.0570648279972374,3.217597087001195,0.07927816098666025,5,2.9614671759991325,0.13338025800112518,0.2145659999999907,11.96416400000004,12.163143000000048,3452.933879839522,3429.447043649063,1.0007828776351202,667,3.158433749696148,0.789608437424037,3.294722799589534,0.08881683317296256,1.24657957863616,cache,192,108.0,process,393.228288,7.856141199081359,0.421875
14,10667,process/dynamic,667,2.07791706479984,2.0376540100005514,0.08124934038014439,1.9992185939991032,2.1728946980001638,0.10086820757009031,5,1.660920227997849,0.37673378200270236,0.4709750000000099,23.563710000000015,24.031153000000018,5234.9417259493985,5139.721056138191,1.0121614519117779,667,4.7884544565039935,0.34203246117885666,5.8745828129037685,0.14797685408917885,2.462911484382038,cache,192,108.0,process,393.228288,5.181860187028436,1.4765625
1,6000,sequential,1,6.722918493401084,6.720684269999765,0.01611137610624171,6.704449052002019,6.740162042999145,0.02000170858890232,5,6.720684269999765,0.0,6.717983000000004,0.0,6.717983000000004,892.7662361380666,892.473643672276,1.0,1,1.0,1.0,1.0,nan,0.9995980662249201,cache,256,192.0,sequential,393.216,17.091583938598035,
4,6000,process/dynamic,375,2.186764715800382,2.175783156999387,0.06750081501105912,2.108507771001314,2.2704653039982077,0.08379989533243862,5,2.039682051999989,0.13610110499939765,0.16683100000000195,8.27506900000003,8.443527000000017,2757.6277446115423,2745.865536626966,1.0045073088710887,375,3.0888575676209533,0.7722143919052383,3.2949666166890412,0.0983257199393206,1.2563493032533595,cache,256,192.0,process,393.216,5.533302706398994,0.75
14,6000,process/dynamic,375,1.5571102581998275,1.5635595489984553,0.02843085369437522,1.5227439510017575,1.5858613979980873,0.03529590810733437,5,1.1854850520030595,0.3775248529964301,0.41681900000003225,16.81578300000001,17.244027000000017,3837.3978169512798,3854.323418792878,1.0176615166776062,375,4.298323191019318,0.3070230850728084,5.66914298804876,0.17362185166050223,2.5658141801088687,cache,256,192.0,process,393.216,3.9763375574708433,2.625
1,2667,sequential,1,5.709288997198746,5.7104582939973625,0.012580386035998146,5.690616416999546,5.72174275100042,0.015618108209294872,5,5.7104582939973625,0.0,5.707840000000033,0.0,5.707840000000033,467.0378212556878,467.1352897652526,1.0,1,1.0,1.0,1.0,nan,0.9995414914420999,cache,384,432.0,sequential,393.265152,14.52063134746646,
