section,start_method,workers,parent_rss_gb,parent_dataset,create_s,destroy_s,total_s,per_worker_ms,n_images,mode,tasks,time_mean,time_median,time_std,time_min,time_max,time_ci95,reps,compute_median,pool_setup_median,cpu_main_median,cpu_children_median,cpu_total_median,throughput_median,throughput_mean,imbalance_median,task_count,speedup,efficiency,speedup_compute,amdahl_serial_fraction,cpu_overhead_ratio,level,return_mode,backend,pool,cv2_threads
A_pool_creation,spawn,32,2.334,full_3000,1.0397116419990198,0.9312747719995969,1.9709864139986166,61.59332543745677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_ipc,,1,,,,,,,1500,sequential,1,0.45391160720027984,0.44931101399924955,0.00895201026018021,0.4446454549979535,0.46629363700049,0.01111360689045179,5,0.44931101399924955,0.0,0.44903200000000076,0.0,0.44903200000000076,3338.4447593410327,3305.628900291682,1.0,1,1.0,1.0,1.0,nan,0.9993790181176168,light,reduce,sequential,,
B_ipc,,2,,,,,,,1500,process/dynamic,94,0.25165515239932573,0.24901634300113074,0.00513167224211756,0.24855592499807244,0.26059318499756046,0.006370791177845435,5,0.23813696700017317,0.01151005800056737,0.022024999999999295,0.48213900000001786,0.5018180000000285,6023.701022680221,5962.4744708467,1.0023218101315654,94,1.8043434763525112,0.9021717381762556,1.8867755798658628,0.1084364070431918,1.116861114828729,light,reduce,process,,
B_ipc,,4,,,,,,,1500,process/dynamic,94,0.15197174179993453,0.1512474219998694,0.0025994002264278764,0.14952456500031985,0.1564055119997647,0.0032270642490181017,5,0.13559226200231933,0.01597167799991439,0.027299000000001072,0.5526090000000181,0.5815060000000187,9917.524412424664,9872.527475723311,1.0092375763483237,94,2.970701966739225,0.7426754916848063,3.3136921485354676,0.11549436741271608,1.2942171054836193,light,reduce,process,,
B_ipc,,8,,,,,,,1500,process/dynamic,94,0.11379994000017177,0.11408963299982133,0.00368593243703007,0.10897061200012104,0.11898373100120807,0.0045759558958651725,5,0.08900513000116916,0.025291255002230173,0.03432299999999877,0.7278580000000261,0.7645310000000265,13147.557412182658,13192.067683753583,1.027318260446912,94,3.938228234987426,0.49227852937342825,5.048147381991885,0.14733861895877734,1.7015630068692316,light,reduce,process,,
B_ipc,,14,,,,,,,1500,process/dynamic,94,0.12284223999959068,0.12362622000000556,0.00921393391941119,0.113320272997953,0.13556568200147012,0.011438775930633738,5,0.07739788900289568,0.04533854599867482,0.05397999999999925,1.087787999999989,1.1417679999999883,12133.348411040413,12265.2104141004,1.0919417642679101,94,3.634431385180501,0.2596022417986072,5.805210190970964,0.21938821989057647,2.5411529306555023,light,reduce,process,,
B_ipc,,20,,,,,,,1500,process/dynamic,94,0.13088467459892855,0.12521841299894731,0.015016887658043982,0.12097161599740502,0.15753568899890524,0.01864293955201727,5,0.06875794000006863,0.056385176998446696,0.07719399999999865,1.2872810000000072,1.3744270000000078,11979.068925051863,11566.719945480789,1.1081293414522833,94,3.588218403654635,0.17941092018273175,6.53467823496168,0.24072614361356962,3.058965743497896,light,reduce,process,,
B_ipc,,1,,,,,,,1500,sequential,1,0.43859068820020186,0.43858053700023447,0.001251086130423207,0.4368913530015561,0.4398174689995358,0.001553179569226736,5,0.43858053700023447,0.0,0.43814300000000017,0.0,0.43814300000000017,3420.124409212436,3420.067527511577,1.0,1,1.0,1.0,1.0,nan,0.9990023793503767,light,array,sequential,,
B_ipc,,2,,,,,,,1500,process/dynamic,94,0.4461387470000773,0.41809338800158,0.06602636907874397,0.404820629999449,0.5618205110004055,0.08196942239991024,5,0.40237776200228836,0.016081514997495105,0.3924030000000016,0.5954179999999951,0.974241999999947,3587.7151924591817,3413.0405867894174,1.0131333822062174,94,1.0490013704750982,0.5245006852375491,1.0899721068525159,0.9065752021793732,2.2213525631198405,light,array,process,,
B_ipc,,4,,,,,,,1500,process/dynamic,94,0.3187937778013293,0.3215902999982063,0.009836356867566773,0.30249872500280617,0.3284398510004394,0.012211492199309905,5,0.2974696969977231,0.023015343005681643,0.38457899999999867,0.6754190000000335,1.0655490000000576,4664.319788278335,4708.923649616795,1.0245517351453286,94,1.363786584989288,0.340946646247322,1.474370470090577,0.6443367420353917,2.429540096074733,light,array,process,,
B_ipc,,8,,,,,,,1500,process/dynamic,94,0.33002094999974363,0.3260459279990755,0.00932994115115032,0.3212836589991639,0.34439511399978073,0.011582794841752847,5,0.29376415600199834,0.03465377099928446,0.38289100000000076,0.7763840000000073,1.157177000000008,4600.578848524227,4548.022245723614,1.070407968658253,94,1.3451495612651174,0.16814369515813968,1.492968178858591,0.7067562947611113,2.638459535652831,light,array,process,,
B_ipc,,14,,,,,,,1500,process/dynamic,94,0.3662385889998404,0.3759142189992417,0.03208371757449556,0.32810867199805216,0.4091201670016744,0.039830810549143086,5,0.3064542320025794,0.06109632399966358,0.43672600000000017,0.982264999999984,1.424561999999984,3990.272046620896,4120.934385600531,1.2030690812815843,94,1.1667037713226782,0.08333598366590558,1.4311453104571354,0.846124489557472,3.248119512424288,light,array,process,,
B_ipc,,20,,,,,,,1500,process/dynamic,94,0.38305893619908604,0.38596590899760486,0.009696230658921381,0.36903162299859105,0.39386749299956136,0.012037530423946284,5,0.2942961689986987,0.08601946199632948,0.44331499999999835,1.1728819999999587,1.6053789999999957,3886.3536002328856,3917.8758825750047,1.201262891745062,94,1.136319365975289,0.05681596829876445,1.4902692702132108,0.8737202992888241,3.6603972692913582,light,array,process,,
B_ipc,,1,,,,,,,1500,sequential,1,8.791580606600473,8.792876940002316,0.038054767898191205,8.741907592000643,8.846997289001592,0.0472436601876021,5,8.792876940002316,0.0,8.78839,0.0,8.78839,170.59262972007488,170.62033911283828,1.0,1,1.0,1.0,1.0,nan,0.9994897074037391,heavy,reduce,sequential,,
B_ipc,,2,,,,,,,1500,process/dynamic,94,4.589056369999161,4.5930721299992,0.055356572432416824,4.501785049997125,4.655028212997422,0.06872324393474462,5,4.576867563999258,0.014834599998721387,0.02804299999999671,9.149056000000087,9.177471000000082,326.57880336842464,326.9028970453086,1.0014028956909313,94,1.914378152821181,0.9571890764105905,1.9211560782674508,0.04472567086739887,1.0437392747131595,heavy,reduce,process,,
B_ipc,,4,,,,,,,1500,process/dynamic,94,2.789825870799541,2.7957930599986867,0.021225931815031514,2.7637000149989035,2.816703903998132,0.026351250190708043,5,2.7742546099980245,0.02101651499833679,0.03461400000000481,10.904473000000053,10.940012000000038,536.5203961128312,537.6928748650688,1.0180168441566328,94,3.145038545880948,0.786259636470237,3.1694556470462447,0.09061483578516534,1.2441902774994549,heavy,reduce,process,,
B_ipc,,8,,,,,,,1500,process/dynamic,94,2.006930035399273,1.9841760599992995,0.07439386904975519,1.9409363160011708,2.1337717379974492,0.09235738025864189,5,1.9520906359975925,0.032239827000012156,0.049548999999998955,15.29486200000008,15.347293000000093,755.9813013773231,748.202772956903,1.031420931841541,94,4.43150036796907,0.5539375459961338,4.50433846556967,0.11503680906887433,1.7454233813030084,heavy,reduce,process,,
B_ipc,,14,,,,,,,1500,process/dynamic,94,1.7045172265992732,1.6894234110004618,0.03387517196545603,1.6804972169993562,1.7608169889972487,0.042054838369114285,5,1.6365023599973938,0.05291531699913321,0.0641040000000146,22.332873000000177,22.395519000000178,887.8768876013818,880.287598698771,1.0336089003505764,94,5.204661473700812,0.37176153383577226,5.37296930021923,0.1299920283848814,2.5470069867706213,heavy,reduce,process,,
B_ipc,,20,,,,,,,1500,process/dynamic,94,1.6636151257996972,1.6754492849977396,0.027843502779132265,1.6269916760029446,1.6944436569974641,0.03456673253793262,5,1.5800054280007316,0.07419694499913021,0.10342299999999227,27.97364300000004,28.095167000000032,895.2822466375183,901.8539251877455,1.0705213467372223,94,5.248071080835,0.26240355404175003,5.565092868781109,0.1479433680634271,3.1952189473031147,heavy,reduce,process,,
B_ipc,,1,,,,,,,1500,sequential,1,9.017595785600133,8.987997411000833,0.10666114543793956,8.898273331000382,9.17244861600193,0.132416072639611,5,8.987997411000833,0.0,8.98378099999998,0.0,8.98378099999998,166.8892336533252,166.35998846310645,1.0,1,1.0,1.0,1.0,nan,0.9995308842662,heavy,array,sequential,,
B_ipc,,2,,,,,,,1500,process/dynamic,94,5.06368783479993,5.008498322000378,0.15071611440107252,4.937284329000249,5.321068206998461,0.18710877208893648,5,4.98400658799801,0.02599574000123539,0.6093919999999855,9.508170999999948,10.1328179999999,299.4909658671713,296.4305463667504,1.0021256350882106,94,1.79454935055485,0.897274675277425,1.8033678833099531,0.11448592895014431,1.127372153845735,heavy,array,process,,
B_ipc,,4,,,,,,,1500,process/dynamic,94,3.0375596872007007,3.039800267000828,0.03843244736911158,2.9846406659999047,3.08499671699974,0.04771253600972593,5,2.9903738479988533,0.05081319800228812,0.4853999999999701,11.471471999999949,11.930063999999959,493.4534733362438,493.8808454818121,1.019123038333209,94,2.956772360530352,0.739193090132588,3.005643397067416,0.11760883290572581,1.3273328255967443,heavy,array,process,,
B_ipc,,8,,,,,,,1500,process/dynamic,94,2.176081064400205,2.1370345809991704,0.10523391542469535,2.097206612001173,2.359526909000124,0.13064421661527137,5,2.033250250002311,0.10577091300001484,0.7385329999999897,15.343846999999869,16.06176600000026,701.9072191609904,690.5356200534638,1.0329013596209973,94,4.205826845721184,0.525728355715148,4.420507220392874,0.1288747150579859,1.7870238792393853,heavy,array,process,,
B_ipc,,14,,,,,,,1500,process/dynamic,94,2.0283337155997287,2.054668925000442,0.12033166934463241,1.8841811540005438,2.1905955000001995,0.14938754879634733,5,1.8731341820021044,0.16043335599897546,0.8641240000000039,24.382505000000037,25.29618700000006,730.0446226389867,741.6040098924301,1.048067865469957,94,4.374426118796195,0.3124590084854425,4.798373494734899,0.16926306216742326,2.814440841854145,heavy,array,process,,
