workers,n_images,mode,tasks,time_mean,time_median,time_std,time_min,time_max,time_ci95,reps,compute_median,pool_setup_median,cpu_main_median,cpu_children_median,cpu_total_median,throughput_median,throughput_mean,imbalance_median,task_count,speedup,efficiency,speedup_compute,amdahl_serial_fraction,cpu_overhead_ratio,level,backend,per_worker,weak_efficiency,scaled_speedup,chunksize,scheduling
1,500,sequential,1,0.1769380377144054,0.17676984499848913,0.00113824690884782,0.17539532099908683,0.17887387500013574,0.0010527407373105968,7,0.17676984499848913,0.0,0.17672499999999958,0.0,0.17672499999999958,2828.536733764028,2825.947984207484,1.0,1,1.0,1.0,1.0,nan,0.9997463085488933,light,sequential,500,1.0,1.0,,
1,500,process/dynamic,32,0.18127341899993812,0.1822915449993161,0.003060398219024677,0.17660329600039404,0.18460485700052232,0.002830498244727341,7,0.1738463239998964,0.008690205999300815,0.008163999999999838,0.1780790000000001,0.1873389999999998,2742.8589735298797,2758.9429512725796,1.0,32,0.9697095112071836,0.9697095112071836,1.0168166972492008,nan,1.0597904863332375,light,process,500,0.9697095112071836,0.9697095112071836,16,dynamic
2,1000,process/dynamic,63,0.1930151071423357,0.1913592559976678,0.0047519086599543,0.18888147700272384,0.2028166689997306,0.004394940840539302,7,0.17940538699986064,0.01168785099798697,0.017984000000000222,0.3652230000000003,0.3831830000000003,5225.772826019911,5183.551777579373,1.0038906059757375,63,0.9237590524528562,0.4618795262264281,0.985309571549412,1.1650667397406314,2.167694382507805,light,process,500,0.9237590524528562,1.8475181049057123,16,dynamic
4,2000,process/dynamic,125,0.23046541742847435,0.22981476499990094,0.00603062414088478,0.22401996299959137,0.2397734810001566,0.005577598019523307,7,0.21245806200022344,0.017430033996788552,0.03469899999999981,0.8591179999999987,0.8929289999999983,8702.661032248569,8683.147764673373,1.0107365356625038,125,0.7691840208724854,0.19229600521812135,0.8320222981150192,1.40010534603618,5.051364954286351,light,process,500,0.7691840208724854,3.0767360834899415,16,dynamic
8,4000,process/dynamic,250,0.31056315100067877,0.3046117450030579,0.016832906330146398,0.29709165600070264,0.3463759950027452,0.015568402675493434,7,0.27607990199976484,0.028531843003293034,0.06632000000000016,2.2115399999999994,2.2792119999999993,13131.470029035963,12910.024655779594,1.015319941811394,250,0.5803119804087482,0.07253899755109353,0.640285090359963,1.8265268806333952,12.893669732071553,light,process,500,0.5803119804087482,4.642495843269986,16,dynamic
14,7000,process/dynamic,438,0.46806581942863495,0.4605760980011837,0.01949028181983277,0.45249107999916305,0.5073949379984697,0.018026153634953815,7,0.4159908519977762,0.0445836920007423,0.11788500000000113,5.781412999999986,5.896684999999986,15198.357080140988,14976.381146672977,1.0215404180077736,438,0.38380160361260174,0.02741440025804298,0.42493685654278307,2.7290138102247212,33.3579802598706,light,process,500,0.38380160361260174,5.373222450576424,16,dynamic
20,10000,process/dynamic,625,0.6589702237153168,0.6535025650009629,0.024155960945569523,0.6386859689991979,0.7108005510017392,0.022341342584471492,7,0.59261290500217,0.06137477500305977,0.27448300000000003,10.95608199999998,11.22407200000001,15302.158760440772,15191.802538426864,1.0159222008098123,625,0.2704960232225388,0.01352480116112694,0.2982888889296831,3.838854759398396,63.49539990882462,light,process,500,0.2704960232225388,5.409920464450776,16,dynamic
1,500,sequential,1,0.6851165791423617,0.6859574770023755,0.006648533814639443,0.6772297690004052,0.6968560529967363,0.006149089741120246,7,0.6859574770023755,0.0,0.6856650000000002,0.0,0.6856650000000002,728.9081565011769,729.8614772945633,1.0,1,1.0,1.0,1.0,nan,0.9995736222547592,medium,sequential,500,1.0,1.0,,
1,500,process/dynamic,32,0.6823877421427044,0.6823094930005027,0.007417519536287567,0.6679414509999333,0.6922718570021971,0.00686030853670531,7,0.673169636997045,0.008942969998315675,0.010355000000000558,0.6776519999999948,0.6886620000000043,732.805281370505,732.7961219845384,1.0,32,1.005346523885855,1.005346523885855,1.0189964598854697,nan,1.0039426977448334,medium,process,500,1.005346523885855,1.005346523885855,16,dynamic
2,1000,process/dynamic,63,0.7102920808564315,0.7110110329995223,0.009944002596807156,0.6981652079994092,0.7293288149994623,0.009196999828602965,7,0.6988866009996855,0.012124431999836816,0.01836099999999874,1.396839,1.4112970000000011,1406.4479362314928,1408.105550853121,1.0064823720484906,63,0.9647634778725528,0.4823817389362764,0.9815003979489432,1.073046965262717,2.0574117890912844,medium,process,500,0.9647634778725528,1.9295269557451056,16,dynamic
