workers,n_images,mode,tasks,time_mean,time_median,time_std,time_min,time_max,time_ci95,reps,compute_median,pool_setup_median,cpu_main_median,cpu_children_median,cpu_total_median,throughput_median,throughput_mean,imbalance_median,task_count,speedup,efficiency,speedup_compute,amdahl_serial_fraction,cpu_overhead_ratio,level,backend,chunksize,scheduling,tasks_per_worker
1,1500,sequential,1,0.5359737670005416,0.5333141830014938,0.008777060867314833,0.5268440680010826,0.5491489859996364,0.010896413352741312,5,0.5333141830014938,0.0,0.5331220000000001,0.0,0.5331220000000001,2812.600991704356,2799.2399499938715,1.0,1,1.0,1.0,1.0,nan,0.99963964393294,light,sequential,-,,
14,1500,process/dynamic,1500,0.13379640640050638,0.13274436099891318,0.001871275621603724,0.13202952800202183,0.13598370600084309,0.0023231230793708843,5,0.09519306500078528,0.03753145900191157,0.1341940000000008,1.3842750000000001,1.518469000000001,11299.915030004784,11212.810298567547,1.0138392555218483,1500,4.017603301475535,0.2869716643911096,5.602447856859051,0.1911280461252236,2.84723161018155,light,process,1,dynamic,107.14285714285714
14,1500,process/dynamic,750,0.1474608888005605,0.13504007899973658,0.01790097459649582,0.1335420300019905,0.16729843500070274,0.022223432373212396,5,0.097406641998532,0.037816768999618944,0.11450299999999913,1.4015650000000015,1.5160680000000006,11107.813407032485,10288.370794393206,1.0200778684120815,750,3.9493029547363796,0.2820930681954557,5.475131593280172,0.19576379700527755,2.8427295735274947,light,process,2,dynamic,53.57142857142857
14,1500,process/dynamic,375,0.12636715519911376,0.1257815169992682,0.0023016512559613463,0.12389182100014295,0.1298609879995638,0.0028574193409329376,5,0.08876191699891933,0.03701960000034887,0.07727000000000128,1.2957350000000005,1.3740140000000016,11925.440524053522,11873.294909512013,1.031966124537858,375,4.24000438001234,0.30285745571516715,6.008367113206747,0.17706795242579906,2.5763687593437825,light,process,4,dynamic,26.785714285714285
14,1500,process/dynamic,188,0.1260536646012042,0.1255901830008952,0.002038435102161233,0.12424390900196158,0.12896722300138208,0.002530645714056837,5,0.08875727999839,0.036650322002969915,0.05801800000000057,1.2782310000000052,1.3372910000000058,11943.608681494701,11902.166993587107,1.027304656812798,188,4.24646393737393,0.30331885266956643,6.008681011981977,0.176681591056056,2.507510661864884,light,process,8,dynamic,13.428571428571429
14,1500,process/dynamic,94,0.12936840760012275,0.12968517400076962,0.0027318086300709824,0.1254655049997382,0.1329910509994079,0.0033914446400490792,5,0.0925712680000288,0.03648347299895249,0.04630299999999998,1.2216060000000013,1.2679090000000013,11566.472509734214,11598.946057134202,1.1021714982528164,94,4.11237589115876,0.2937411350827686,5.761119994611373,0.1849506197976837,2.377414740527255,light,process,16,dynamic,6.714285714285714
14,1500,process/dynamic,47,0.13100492080047843,0.1308795530021598,0.0009945227404769017,0.12983068199901027,0.13255525800195755,0.0012346651154366071,5,0.09408018799877027,0.0368163459970674,0.03956800000000271,1.1932900000000046,1.2336130000000054,11460.919338372485,11450.477443873971,1.1706592370871867,47,4.074847222260095,0.29106051587572107,5.668719358941596,0.18736243322809057,2.3131074314529343,light,process,32,dynamic,3.357142857142857
14,1500,process/dynamic,24,0.14884948460021405,0.14852971000073012,0.013395879151298223,0.13538339499791618,0.16931318500064663,0.016630514321654768,5,0.10458289399684872,0.036525031999190105,0.03864299999999865,1.2988050000000015,1.3462120000000013,10098.989622969213,10140.303878474937,1.237728504047766,24,3.5906229332762596,0.25647306666258995,5.099439904747363,0.22300345307890238,2.5242381374962055,light,process,64,dynamic,1.7142857142857142
14,1500,process/dynamic,12,0.14528148679964942,0.1452195899983053,0.00614002843412046,0.13619918200129177,0.15342840299854288,0.007622630038366085,5,0.11017126699880464,0.03605780000361847,0.0340039999999977,1.0178839999999951,1.0521679999999947,10329.18492620386,10339.729324805367,1.3800281262470362,12,3.672467213326504,0.26231908666617887,4.840773801823303,0.2163193169137369,1.972885840159716,light,process,128,dynamic,0.8571428571428571
14,1500,process/dynamic,6,0.17917309500044212,0.18151691900129663,0.00960789225081821,0.16874867500155233,0.1889137580001261,0.011927861387332915,5,0.14543441899877507,0.03535552300309064,0.03294499999999978,0.780988999999991,0.8123389999999908,8263.69248802248,8391.279827623166,1.183317771758814,6,2.938096271883527,0.20986401942025193,3.667042414533149,0.28961463228299117,1.523190318000066,light,process,256,dynamic,0.42857142857142855
